DN,objectClass,ou,distinguishedName,instanceType,whenCreated,whenChanged,uSNCreated,uSNChanged,name,objectGUID,objectCategory,dSCorePropagationData,cn,sn,c,l,st,title,postalCode,physicalDeliveryOfficeName,telephoneNumber,givenName,displayName,co,department,company,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,objectSid,accountExpires,logonCount,sAMAccountName,sAMAccountType,userPrincipalName,lastLogonTimestamp,mail,homePhone,mobile
"OU=share,DC=DOM254955,DC=Local",organizationalUnit,share,"OU=share,DC=DOM254955,DC=Local",4,20120202233912.0Z,20120202233912.0Z,21095,21096,share,X'bbf42b43e6155b42a1b4edafb0927290',"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",20120202233912.0Z;20120202233912.0Z;16010101000001.0Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=u2,OU=share,DC=DOM254955,DC=Local",user,,"CN=u2,OU=share,DC=DOM254955,DC=Local",4,20120202233942.0Z,20120204011331.0Z,21099,21360,u2,X'07d67bec1421d64d876da0b847550937',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",16010101000000.0Z,u2,anamica,IN,bangalore,goa,EE,403512,EGL,9.20E+11,u2,u2,India,pwd,MS,66048,0,0,356,1.30E+17,0,1.30E+17,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c58040000',9.22E+18,7,u2,805306368,u2@DOM254955.Local,1.30E+17,morenof@microsoft.com,8322246444,9850479223
"CN=u3,OU=share,DC=DOM254955,DC=Local",user,,"CN=u3,OU=share,DC=DOM254955,DC=Local",4,20120202234001.0Z,20120202234002.0Z,21106,21111,u3,X'772c5b1e473a0d49b50c24cdaa24043c',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",16010101000000.0Z,u3,,,,,,,,,u3,u3,,,,66048,0,0,0,0,0,0,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c59040000',9.22E+18,0,u3,805306368,u3@DOM254955.Local,,,,
"CN=u4,OU=share,DC=DOM254955,DC=Local",user,,"CN=u4,OU=share,DC=DOM254955,DC=Local",4,20120202234020.0Z,20120202234020.0Z,21113,21118,u4,X'8f384a00fe186f4a8c2f7cc51931fd65',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",16010101000000.0Z,u4,,,,,,,,,u4,u4,,,,66048,0,0,0,0,0,0,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c5a040000',9.22E+18,0,u4,805306368,u4@DOM254955.Local,,,,
"CN=u55 gosain,OU=share,DC=DOM254955,DC=Local",user,,"CN=u55 gosain,OU=share,DC=DOM254955,DC=Local",4,20120209175812.0Z,20120209213719.0Z,22599,22639,u55 gosain,X'0cc604dd03df794c88b2c872f5610034',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",16010101000000.0Z,u55 gosain,gosain,IN,bangalore,goa,manager,403512,EHL,9850479223,u55,u55 gosain,India,pwd,MS,66048,0,0,356,1.30E+17,0,1.30E+17,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c5c040000',9.22E+18,9,u55,805306368,u55@DOM254955.Local,1.30E+17,u55@microsoft.com,,505498
"CN=u66 balusu,OU=share,DC=DOM254955,DC=Local",user,,"CN=u66 balusu,OU=share,DC=DOM254955,DC=Local",4,20120214025658.0Z,20120214025659.0Z,23549,23554,u66 balusu,X'175f9760299bfe4d84ee2e485bf9ecf7',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",16010101000000.0Z,u66 balusu,balusu,IN,bangalore,goa,,403512,,,u66,u66 balusu,India,pwd,MS,66048,0,0,356,0,0,0,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c5d040000',9.22E+18,0,u66,805306368,u66@DOM254955.Local,,,,
"CN=aj,OU=share,DC=DOM254955,DC=Local",user,,"CN=aj,OU=share,DC=DOM254955,DC=Local",4,20120215213251.0Z,20120215213252.0Z,23943,23949,aj,X'7c951ad5a60aea44be33138844e9c6b4',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",20120215213252.0Z;16010101000000.0Z,aj,,,,,,,,,aj,aj,,,,66048,0,0,0,0,0,0,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c5f040000',9.22E+18,0,aj,805306368,aj@DOM254955.Local,,,,
"CN=aj1,OU=share,DC=DOM254955,DC=Local",user,,"CN=aj1,OU=share,DC=DOM254955,DC=Local",4,20120215214124.0Z,20120215214124.0Z,23954,23960,aj1,X'b329f26bdb4d1c4190557150dfe45f7d',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",20120215214124.0Z;16010101000000.0Z,aj1,,,,,,,,,aj1,aj1,,,,66048,0,0,0,0,0,0,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c60040000',9.22E+18,0,aj1,805306368,aj1@DOM254955.Local,,,,
"CN=aj2,OU=share,DC=DOM254955,DC=Local",user,,"CN=aj2,OU=share,DC=DOM254955,DC=Local",4,20120215215417.0Z,20120215215419.0Z,23963,23970,aj2,X'9e74fc446b481344a9187451a8897dda',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",20120215215418.0Z;16010101000000.0Z,aj2,,,,,,,,,aj2,aj2,,,,66048,0,0,0,0,0,0,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c61040000',9.22E+18,0,aj2,805306368,aj2@DOM254955.Local,,,,
"CN=aj3,OU=share,DC=DOM254955,DC=Local",user,,"CN=aj3,OU=share,DC=DOM254955,DC=Local",4,20120215230634.0Z,20120215230706.0Z,23982,23990,aj3,X'962e5cf6a888104d928ae8cdac9fad07',"CN=Person,CN=Schema,CN=Configuration,DC=DOM254955,DC=Local",20120215230634.0Z;16010101000000.0Z,aj3,,,,,,,,,aj3,aj3,,,,66048,0,0,0,0,0,1.30E+17,1.30E+17,513,X'010500000000000515000000ac728485cc5a20bc1f96561c62040000',9.22E+18,1,aj3,805306368,aj3@DOM254955.Local,1.30E+17,,,
